# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_model
# start_datetime = 2026-04-03 14:32:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = player_data.json
# init = 2 (Default)
# random
#   seed = 1525420468 (Default)
# output
#   file = base_model_results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 2
# stanc_version = stanc3 v2.38.0-77-g002979f
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.610302
# Diagonal elements of inverse mass matrix:
# 0.0470834, 0.35669, 0.0144418, 0.0134428, 0.00826597, 0.00758519
-1062.9673,0.83734078,0.61030207,3,7,0,1064.2869,0.23099733,12.320803,0.2569211,0.28622693,0.29167827,0.32433566
-1062.1397,0.9975107,0.61030207,3,7,0,1064.0392,0.29118589,25.764955,0.25960957,0.25828139,0.31540399,0.27672254
-1063.8178,0.90121831,0.61030207,3,7,0,1065.4648,0.277778,13.566488,0.26678121,0.24621453,0.31019274,0.26876655
-1062.3117,0.97764204,0.61030207,3,7,0,1065.9163,0.26812863,36.079115,0.28038735,0.25653503,0.30163881,0.33401219
-1061.8239,0.93573241,0.61030207,2,3,0,1063.4405,0.26454899,41.901719,0.26118279,0.26254994,0.30802864,0.32755454
-1064.9673,0.64131323,0.61030207,3,7,0,1066.5433,0.3918925,4.7540625,0.26989165,0.27881104,0.30405602,0.29039953
-1065.2267,0.91879876,0.61030207,2,7,0,1066.312,0.36701257,4.6556809,0.24146193,0.27499603,0.29750658,0.28799923
-1066.4187,0.95016197,0.61030207,3,7,0,1068.721,0.37397904,3.7363861,0.24584336,0.26868179,0.27297909,0.29788775
