# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_model
# start_datetime = 2026-04-03 15:16:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = player_data.json
# init = 2 (Default)
# random
#   seed = 1528040919 (Default)
# output
#   file = model_results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0-77-g002979f
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.557611
# Diagonal elements of inverse mass matrix:
# 0.0565113, 0.384185, 0.0144178, 0.013505, 0.00885706, 0.0083596
-1062.9884,0.95076646,0.55761147,3,7,0,1065.5112,0.26481853,16.202804,0.28640427,0.29715002,0.29482822,0.28572111
-1062.1692,0.95693902,0.55761147,3,7,0,1066.504,0.3179147,57.753449,0.27906756,0.27442291,0.29578756,0.31331023
-1062.2844,0.85684545,0.55761147,3,7,0,1064.3043,0.3267423,25.188105,0.28592311,0.27381722,0.27691345,0.30722003
-1061.912,0.90499859,0.55761147,3,7,0,1065.2278,0.24462568,21.210819,0.25528804,0.25826136,0.32150107,0.31798692
-1062.4915,0.97047604,0.55761147,3,7,0,1063.5976,0.28945384,19.848944,0.26056674,0.27792399,0.26912933,0.31652523
-1062.5604,0.92458753,0.55761147,3,7,0,1065.4862,0.31809341,15.056931,0.25182786,0.2556832,0.28056148,0.32042537
-1061.0954,0.97877551,0.55761147,3,7,0,1063.3426,0.30625931,37.783586,0.26583346,0.28005349,0.31250511,0.29726582
-1067.082,0.51655632,0.55761147,3,7,0,1071.6378,0.19556959,9.3987678,0.27914528,0.30046294,0.26497943,0.28050629
-1067.9748,0.90364979,0.55761147,3,7,0,1072.0193,0.22136212,9.0386641,0.28258089,0.21800251,0.34805568,0.31811526
-1066.348,0.98547542,0.55761147,3,7,0,1070.4383,0.37268089,38.710849,0.27812919,0.3271514,0.29395827,0.2965553
-1063.6514,1,0.55761147,3,7,0,1068.8378,0.23714298,31.156561,0.29123129,0.27808507,0.32314971,0.28100288
-1062.5027,0.89931694,0.55761147,3,7,0,1066.9988,0.35363387,22.317029,0.24738242,0.25991787,0.32013487,0.30836453
-1064.2471,0.76007346,0.55761147,3,7,0,1067.7822,0.20628587,17.779212,0.26405116,0.29311787,0.32455618,0.32286772
-1064.1274,0.94855155,0.55761147,3,7,0,1066.8958,0.36431973,32.547971,0.30015357,0.25742922,0.29036388,0.29474777
-1064.674,0.97658045,0.55761147,3,7,0,1068.3779,0.21897664,42.668043,0.28907645,0.28624323,0.28354215,0.28716812
-1065.0164,0.93159385,0.55761147,3,7,0,1071.0555,0.33401861,51.703148,0.28632403,0.23920984,0.33553468,0.31888984
-1066.6694,0.94251749,0.55761147,3,7,0,1070.4708,0.34943881,43.840302,0.2759058,0.25518241,0.3634329,0.30770543
-1062.2282,0.9329681,0.55761147,3,7,0,1069.3987,0.29602535,43.310535,0.29713546,0.25376622,0.30282246,0.32101394
-1062.7235,0.96659637,0.55761147,3,7,0,1064.4234,0.28935125,17.653746,0.3105503,0.27561345,0.29543496,0.2996575
-1063.9566,0.97196995,0.55761147,3,7,0,1065.5763,0.32011937,23.172195,0.29396883,0.31622159,0.31345179,0.29036908
-1062.1578,0.92699216,0.55761147,2,3,0,1066.1826,0.32654066,28.926559,0.28200605,0.28761968,0.29986807,0.28576824
-1063.8031,0.83263118,0.55761147,3,7,0,1066.3575,0.34817718,28.57071,0.24303502,0.28263204,0.34059462,0.30922953
-1061.8982,0.94401904,0.55761147,2,3,0,1065.4727,0.28082451,28.709211,0.26620477,0.29797211,0.32235359,0.3010405
-1061.948,0.9935453,0.55761147,3,7,0,1063.1379,0.26588709,21.009123,0.25846729,0.24053681,0.28403437,0.30872491
-1062.8827,0.9529113,0.55761147,3,7,0,1064.6525,0.32809537,27.286275,0.29546927,0.27879136,0.33653167,0.30575784
-1064.9209,0.91964667,0.55761147,3,7,0,1065.9961,0.21788847,21.793352,0.22238152,0.25486874,0.26397773,0.29944809
-1065.2821,0.99115392,0.55761147,3,7,0,1067.5566,0.35505625,26.351598,0.31641673,0.26997036,0.34454961,0.30361882
-1061.9684,0.98648474,0.55761147,2,3,0,1066.4488,0.30528876,30.050819,0.29134385,0.29507653,0.2988988,0.31753933
-1060.7015,0.96120893,0.55761147,3,7,0,1063.6692,0.30305428,28.40089,0.27363342,0.27143488,0.30874453,0.30876263
-1067.6197,0.72732496,0.55761147,3,7,0,1068.77,0.37774818,19.206051,0.32638555,0.28500115,0.27958717,0.34308725
-1064.6882,1,0.55761147,3,7,0,1069.9946,0.37213201,6.7709647,0.26633337,0.25664557,0.3359201,0.30320161
-1065.4071,1,0.55761147,3,7,0,1066.9365,0.37932101,3.5441564,0.2524149,0.27038911,0.29436873,0.29621783
-1064.0245,0.92803854,0.55761147,3,7,0,1067.2083,0.23848232,57.225294,0.29012614,0.27263309,0.28126398,0.30987934
-1064.2401,0.80746804,0.55761147,3,7,0,1072.0751,0.33875955,8.6651947,0.2663918,0.3084429,0.29490487,0.3205075
-1066.849,0.93523118,0.55761147,3,7,0,1068.2033,0.40742348,5.5233394,0.28468184,0.22483919,0.31445112,0.30173546
-1065.6559,0.93731835,0.55761147,3,7,0,1070.0271,0.35677249,12.954053,0.24321747,0.28099381,0.26229024,0.28654924
-1066.003,0.97443408,0.55761147,3,7,0,1067.2388,0.22764203,32.435012,0.26791103,0.2679912,0.35588993,0.31940641
-1068.0212,0.96807088,0.55761147,3,7,0,1069.9849,0.24988126,3.6323154,0.27075044,0.26343305,0.25460739,0.2897365
-1064.4299,1,0.55761147,3,7,0,1068.7074,0.27850827,76.199294,0.27596198,0.27826066,0.33609158,0.31054691
-1065.3362,0.87101898,0.55761147,3,7,0,1067.8397,0.34207943,5.0519453,0.24938102,0.24983744,0.27458138,0.30228812
-1064.6872,0.88381054,0.55761147,3,7,0,1069.9576,0.25758028,39.022776,0.2891092,0.22596386,0.33083234,0.29249565
-1062.1075,1,0.55761147,3,7,0,1065.7442,0.29553032,23.590658,0.25286895,0.25274211,0.28725495,0.32952444
-1063.9629,0.90397038,0.55761147,3,7,0,1065.9441,0.23669237,46.562196,0.23469523,0.28790906,0.31927892,0.3128494
-1065.8605,0.9266283,0.55761147,3,7,0,1067.7701,0.28990329,3.9846259,0.30553921,0.25440656,0.29160186,0.31041438
-1064.4288,0.97759551,0.55761147,3,7,0,1069.5564,0.21640544,22.267087,0.25659395,0.31346398,0.30262832,0.28936862
-1065.648,0.91782249,0.55761147,3,7,0,1069.9921,0.33795297,16.420029,0.32284686,0.30042401,0.29982684,0.28268847
-1065.8826,0.99633682,0.55761147,3,7,0,1068.955,0.34755752,7.526787,0.24220946,0.22362944,0.29973705,0.32585665
-1063.6472,0.96426075,0.55761147,3,7,0,1068.0563,0.22295801,31.761417,0.28825273,0.26483746,0.29703611,0.27566333
-1064.1858,0.98449942,0.55761147,3,7,0,1066.6029,0.23576709,11.835352,0.23991113,0.29307079,0.29539445,0.33407287
-1065.7236,0.84620263,0.55761147,3,7,0,1070.5203,0.22572907,18.4409,0.30332323,0.27048774,0.34838713,0.31046678
-1064.7673,0.95140706,0.55761147,3,7,0,1068.3117,0.24140721,23.558733,0.30992933,0.29682237,0.31717721,0.3234214
-1065.7351,0.96516634,0.55761147,3,7,0,1069.0248,0.3420061,14.827083,0.29981752,0.25496024,0.31851577,0.26417276
-1062.7317,0.93946443,0.55761147,3,7,0,1068.45,0.34411129,34.031342,0.24870968,0.26048318,0.32439264,0.30498597
-1061.9948,0.45724154,0.55761147,2,3,0,1067.5107,0.28665629,49.598231,0.26310422,0.28007426,0.31483605,0.28448501
-1061.893,0.76746432,0.55761147,3,7,0,1066.5235,0.2379163,31.408174,0.26387643,0.26634246,0.29280869,0.28401994
-1064.5482,0.83702727,0.55761147,3,7,0,1066.638,0.16708041,13.231433,0.27252545,0.24390127,0.291961,0.30693063
-1066.0946,0.62296199,0.55761147,3,7,0,1073.3341,0.19978662,7.3967061,0.23983244,0.24066391,0.26966017,0.32043655
-1065.4082,0.99149613,0.55761147,3,7,0,1067.4955,0.36868278,43.658858,0.28713937,0.29838829,0.33463898,0.29223493
-1063.3395,1,0.55761147,3,7,0,1065.9839,0.22446335,13.614714,0.26055056,0.24912058,0.28851523,0.33100222
-1063.7839,0.9547117,0.55761147,3,7,0,1066.6674,0.22873347,19.477415,0.25355033,0.26119132,0.31940918,0.26905718
-1065.8916,0.9196159,0.55761147,3,7,0,1068.2706,0.29852722,25.551428,0.26229383,0.30509607,0.26287951,0.34322771
-1065.9609,0.92243678,0.55761147,2,7,0,1069.1857,0.28106008,48.638933,0.25239652,0.3026601,0.29212941,0.35446649
-1064.5461,0.86007479,0.55761147,3,7,0,1069.9907,0.36251085,5.9436378,0.26547793,0.3000761,0.31201994,0.31214104
-1062.3287,1,0.55761147,3,7,0,1065.5689,0.25683028,53.461641,0.26469487,0.2414366,0.29435649,0.29875617
-1063.5517,0.96139089,0.55761147,3,7,0,1064.6676,0.27707526,54.47961,0.26727034,0.2305756,0.27942507,0.30376581
-1061.7494,0.9851846,0.55761147,3,7,0,1065.2133,0.28033687,41.600797,0.28160844,0.25061646,0.28749359,0.29444133
-1062.9858,0.89793182,0.55761147,3,7,0,1064.2062,0.32746479,20.285671,0.26314276,0.31483824,0.30078677,0.30346502
-1065.0737,0.89795188,0.55761147,3,7,0,1066.8727,0.36480432,24.088438,0.26432454,0.31601864,0.28045531,0.29352782
-1063.9742,0.98830658,0.55761147,3,7,0,1067.3499,0.22845167,25.791713,0.23204744,0.24568857,0.30540528,0.33451906
