# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_with_prior_model
# start_datetime = 2026-04-03 16:15:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = player_data.json
# init = 2 (Default)
# random
#   seed = 1531600736 (Default)
# output
#   file = model_with_prior_results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0-77-g002979f
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3,theta.4,mu_prior,kappa_prior,theta_prior.1,theta_prior.2,theta_prior.3,theta_prior.4,y_prior.1,y_prior.2,y_prior.3,y_prior.4
# Adaptation terminated
# Step size = 0.532555
# Diagonal elements of inverse mass matrix:
# 0.0706465, 0.446331, 0.0130934, 0.0074024, 0.00803084, 0.00814246
-1291.4425,0.81866886,0.5325545,3,7,0,1302.6797,0.30644739,17.45565,0.25550566,0.28758744,0.30858331,0.25023744,0.12299073,0.86560834,0.012994289,0.0059665488,0.18968143,4.7612627e-08,6,3,112,0
-1291.3374,0.92121927,0.5325545,3,7,0,1296.4331,0.27588711,19.274197,0.223316,0.32316292,0.26056719,0.25129953,0.020252791,13.67734,0.0004901772,0.010260786,0.099706583,2.9686736e-05,0,4,62,0
-1290.5977,0.98359057,0.5325545,3,7,0,1293.6615,0.25997441,36.563151,0.2416033,0.2628215,0.28194132,0.25538862,0.23983192,4.6520479,0.2991797,0.021016486,0.046060897,0.32973663,129,16,28,194
-1291.1772,0.81292004,0.5325545,3,7,0,1294.0532,0.24993927,14.977953,0.22583583,0.30581593,0.2562459,0.27098258,0.17675332,13.678895,0.23161104,0.27092145,0.06722792,0.3353452,103,162,39,189
-1290.6944,0.78857856,0.5325545,3,7,0,1300.9637,0.29945346,18.389213,0.24513391,0.28159378,0.29966554,0.24523999,0.24131898,10.962644,0.29410931,0.15797465,0.14149805,0.22954786,142,89,78,131
-1292.0394,0.90767847,0.5325545,3,7,0,1294.181,0.31875405,22.75992,0.22031908,0.312065,0.25222565,0.26542584,0.44237071,6.8838761,0.35857998,0.56561547,0.42324033,0.65672944,162,316,247,388
-1292.4001,0.95819807,0.5325545,3,7,0,1296.1324,0.21562904,22.788701,0.25371791,0.29333573,0.30347882,0.23273976,0.15190145,0.60226653,0.097173887,0.20850323,1.0456252e-08,1.0591941e-05,49,130,0,0
-1294.7845,0.94498718,0.5325545,3,7,0,1297.284,0.20577718,5.5128211,0.2598167,0.29182224,0.27514791,0.22716589,0.33660992,3.0887873,0.16799962,0.1695956,0.008429696,0.29887592,81,98,6,196
-1293.0027,0.97094404,0.5325545,3,7,0,1297.5503,0.28237723,34.427792,0.21652938,0.2573835,0.26899167,0.28475436,0.33310539,13.375883,0.2191779,0.16599583,0.34696238,0.36249014,105,97,211,201
-1291.8636,0.99635182,0.5325545,3,7,0,1295.7742,0.24260531,26.004528,0.22769249,0.3033509,0.24346851,0.24734557,0.22184965,12.536368,0.086303789,0.32430204,0.20520126,0.17033399,36,205,128,110
-1292.1515,0.95508879,0.5325545,3,7,0,1295.2141,0.29573232,32.858936,0.23208606,0.27043357,0.29567531,0.29250943,0.73014422,12.237216,0.90403171,0.76463987,0.68260017,0.578455,412,441,413,344
-1291.9399,0.94800415,0.5325545,3,7,0,1295.7241,0.2702537,27.275117,0.26412622,0.30446905,0.26458402,0.23220775,0.12651295,17.389111,0.31922201,0.091689797,0.030114269,0.21571571,136,56,18,135
-1291.5395,0.97211527,0.5325545,3,7,0,1294.4142,0.20717367,23.572571,0.23595751,0.28450802,0.29438821,0.23349571,0.15455195,16.179588,0.13660603,0.050190807,0.15773182,0.031535235,68,26,92,16
-1291.7041,0.98149917,0.5325545,3,7,0,1293.3029,0.2086493,10.156794,0.2153063,0.28133665,0.27416519,0.26746737,0.31371775,14.806133,0.4900771,0.2163778,0.38088203,0.28736383,210,119,233,166
-1289.7681,0.89219392,0.5325545,3,7,0,1295.5599,0.29525802,32.667433,0.25068308,0.29987206,0.28650219,0.26878697,0.30659959,10.305988,0.42894198,0.25129366,0.22453875,0.50638964,200,145,137,295
-1290.0935,0.98221841,0.5325545,3,7,0,1290.6772,0.25210058,19.270546,0.21191796,0.29741749,0.27890732,0.2653648,0.025809808,5.5916941,7.311374e-05,2.8306333e-06,0.022084274,0.00025652413,0,0,10,0
-1292.3335,0.87057811,0.5325545,3,7,0,1294.6783,0.28789339,37.746957,0.25839511,0.26491366,0.29515918,0.2380065,0.35565135,11.246747,0.61022934,0.13350189,0.41883665,0.41463579,273,72,252,243
-1292.1183,1,0.5325545,1,1,0,1292.5034,0.28450256,35.093915,0.25869236,0.26673403,0.29464757,0.23707072,0.17760593,5.7881012,0.065970911,0.3855617,0.27276946,0.38800853,26,240,176,230
-1289.9225,0.99695814,0.5325545,3,7,0,1292.9318,0.24788206,18.717996,0.22883089,0.29845871,0.2831267,0.27457201,0.22906103,22.787274,0.23949049,0.10277721,0.2291441,0.26886308,111,56,109,145
-1290.8734,0.96709449,0.5325545,3,7,0,1291.3452,0.28311783,50.551947,0.23372325,0.27402347,0.28846657,0.24415529,0.14876754,5.042434,0.092444233,0.019734871,0.41044906,0.10130937,40,9,259,64
-1290.3325,0.86264227,0.5325545,3,7,0,1292.8275,0.27532607,16.451288,0.23785483,0.3183175,0.28817952,0.26040798,0.071608184,7.2678521,0.014551076,0.027842971,0.0090772511,0.015825291,7,15,11,14
-1293.0941,0.92170023,0.5325545,3,7,0,1294.1362,0.26434502,19.192832,0.19980787,0.3147557,0.26916718,0.28817855,0.15670537,16.690197,0.12128379,0.073358437,0.11968138,0.023584863,52,41,69,14
-1292.5762,0.99546512,0.5325545,3,7,0,1293.9718,0.26736358,34.878104,0.26636027,0.26708791,0.28817953,0.23332279,0.10212928,4.9957601,0.0060039983,0.0062922624,0.0059855679,0.060576896,1,5,4,35
-1294.6703,0.85344458,0.5325545,3,7,0,1299.547,0.26635684,48.875404,0.28184604,0.25432911,0.28798653,0.25888909,0.061415771,9.2193775,0.029841851,0.032246328,0.00025095025,0.17520421,19,10,0,99
-1290.4564,0.98012797,0.5325545,3,7,0,1295.622,0.29915919,22.49177,0.23884211,0.27446897,0.29042143,0.24474462,0.097511342,3.384986,0.27141396,0.0067320902,0.00016763853,6.6002905e-08,111,5,1,0
-1290.7951,0.9589173,0.5325545,3,7,0,1292.8403,0.25014868,27.786503,0.22700586,0.30536435,0.27689978,0.28722677,0.27667429,23.858438,0.35119378,0.090450534,0.19547152,0.36687439,165,43,114,220
-1294.0407,0.685221,0.5325545,3,7,0,1298.6489,0.2592162,17.487932,0.24435857,0.27665235,0.26407241,0.21242104,0.14458217,18.76889,0.20712634,0.063849343,0.062321587,0.092037247,83,30,45,61
-1293.8581,0.99899726,0.5325545,3,7,0,1295.8353,0.23563646,16.532434,0.25892119,0.28434838,0.26158717,0.21835979,0.19271308,1.9047281,0.11598552,0.0015083276,0.0035715808,0.11037903,58,1,2,83
-1291.2678,0.96044348,0.5325545,3,7,0,1296.4451,0.24389157,34.919211,0.20896428,0.27594141,0.28594156,0.23784846,0.21498978,5.234023,0.15956556,0.31595106,0.02860855,0.43260166,75,174,18,269
-1290.9031,0.96698771,0.5325545,3,7,0,1293.0533,0.22761315,22.09126,0.23835958,0.28254002,0.26995822,0.28185322,0.20693095,20.428089,0.26354095,0.32522478,0.14626007,0.076479338,124,199,78,34
-1291.9002,0.93982047,0.5325545,3,7,0,1293.8872,0.27693171,34.894463,0.24797096,0.29043312,0.31697519,0.24024392,0.27238229,5.2043278,0.32904142,0.11950241,0.47954377,0.66201755,156,59,299,376
-1294.8962,0.84999323,0.5325545,3,7,0,1296.9621,0.25940707,13.434507,0.21546143,0.26967601,0.2343026,0.24750263,0.48455008,2.0253958,0.87911634,0.30986415,0.012015222,0.7699652,401,151,8,470
-1294.4687,0.99248649,0.5325545,3,7,0,1298.0208,0.21273511,32.130969,0.25245168,0.27065894,0.32247141,0.26393906,0.14201536,4.7575116,0.28622326,0.010996958,0.048297058,0.14472612,137,3,18,86
-1290.552,1,0.5325545,2,7,0,1295.3392,0.25884868,17.811488,0.2360484,0.29313382,0.29674991,0.2804936,0.33937444,1.8240439,0.21324487,0.60614079,0.43134209,0.21996591,113,312,280,122
-1293.1325,0.91312445,0.5325545,3,7,0,1294.5111,0.25358613,18.912091,0.23568382,0.32428456,0.2460212,0.27655049,0.19552057,3.9360719,0.15610169,0.12740104,0.15788208,0.083367518,73,84,93,43
-1299.8174,0.74449952,0.5325545,2,3,0,1301.8669,0.3183707,43.750805,0.27081949,0.34832924,0.23639778,0.24370322,0.35001012,8.2833656,0.5138606,0.23082607,0.42791562,0.38938024,233,138,246,254
-1295.4745,0.99945076,0.5325545,3,7,0,1301.4578,0.19272224,16.471383,0.20945618,0.25088449,0.3019803,0.27870267,0.42126481,6.5504189,0.43101849,0.28936899,0.32371514,0.2223449,194,149,204,127
-1291.6644,1,0.5325545,2,3,0,1295.5206,0.22585045,15.133257,0.22028858,0.26826204,0.28503622,0.276635,0.38405092,2.6372312,0.42335736,0.63013334,0.80019652,0.20307291,190,350,473,118
-1290.9587,0.98484524,0.5325545,3,7,0,1292.9033,0.21890725,17.886623,0.24523028,0.26942465,0.27964529,0.25387689,0.11179562,26.001816,0.12896464,0.12141004,0.34135857,0.052434532,64,61,185,34
-1291.3753,0.98226747,0.5325545,3,7,0,1292.8409,0.25434765,14.271178,0.21596672,0.28832054,0.25438986,0.26493484,0.26807682,41.48856,0.20983759,0.47612175,0.32482082,0.22355821,108,275,204,120
-1291.6351,0.99081509,0.5325545,3,7,0,1293.4931,0.26135748,80.875549,0.2288497,0.28549241,0.27200661,0.25864111,0.31216274,3.7188925,0.1579359,0.035852089,0.86350663,0.35720393,76,19,527,223
-1289.7016,0.67220636,0.5325545,2,3,0,1293.5225,0.2858845,30.26614,0.22676025,0.28419466,0.27609914,0.24747963,0.47116023,0.75760438,0.0033918858,0.0014235956,0.018189582,0.012594259,0,0,6,6
-1290.7657,0.86249753,0.5325545,2,7,0,1291.8423,0.30935851,31.120865,0.22552307,0.28810042,0.26005345,0.26516175,0.32677714,21.664608,0.24888325,0.10493318,0.29454713,0.17309656,105,56,187,97
-1294.9044,0.80750381,0.5325545,2,3,0,1296.5742,0.26616168,14.221042,0.20299223,0.30963215,0.26070979,0.30287858,0.23154886,22.624101,0.32538554,0.22753231,0.33893739,0.22435047,161,118,221,137
-1290.2961,0.99705204,0.5325545,2,7,0,1295.5724,0.25437354,40.902466,0.2341412,0.29576539,0.28083929,0.2344541,0.052769239,5.2821115,0.00046087611,0.0018801212,7.1945617e-06,0.00010306357,1,2,0,0
-1290.5864,0.86808577,0.5325545,3,7,0,1293.1514,0.24320262,9.656244,0.2303521,0.29550779,0.28378482,0.2629764,0.53667523,23.204768,0.52345918,0.53165277,0.52881754,0.72893451,242,296,305,425
-1290.0894,0.92257515,0.5325545,3,7,0,1294.4661,0.31167392,37.467704,0.23326311,0.28998267,0.27963455,0.2537011,0.25457055,7.6105923,0.14775587,0.60020807,0.47739198,0.40899765,69,338,292,245
-1289.991,0.85336848,0.5325545,3,7,0,1291.7378,0.27563726,17.338035,0.21537211,0.29584598,0.27352361,0.26113686,0.086291577,7.3990326,0.0075132406,0.018236697,0.0085937076,0.061948613,8,12,5,36
-1294.5233,0.77278605,0.5325545,2,3,0,1295.3536,0.35628267,9.8038208,0.21643335,0.29389249,0.24794727,0.28350486,0.34979388,4.3896697,0.53369434,0.65947517,0.29146126,0.19162311,245,378,186,111
-1293.0958,0.98119819,0.5325545,3,7,0,1296.1623,0.20278422,32.67207,0.23857836,0.28638134,0.31120339,0.23707748,0.28869459,20.478714,0.51951309,0.11085112,0.13081738,0.21269359,219,56,96,127
-1292.2094,0.8938812,0.5325545,3,7,0,1295.9082,0.32121916,14.970884,0.22723606,0.27781927,0.25301105,0.24787229,0.25541912,9.2769913,0.25614677,0.18752694,0.29402125,0.18675237,109,116,187,120
-1293.5095,0.89424088,0.5325545,3,7,0,1296.1586,0.1866832,10.072105,0.2279244,0.3090959,0.30104386,0.23173624,0.16031577,2.7220484,0.25941904,0.31377927,0.00019710288,0.0035411186,105,186,0,0
