# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_model
# start_datetime = 2026-04-03 14:38:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = player_data.json
# init = 2 (Default)
# random
#   seed = 1525752240 (Default)
# output
#   file = player_data_results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 2
# stanc_version = stanc3 v2.38.0-77-g002979f
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.652234
# Diagonal elements of inverse mass matrix:
# 0.0497907, 0.360279, 0.0129089, 0.0121742, 0.00838909, 0.00641804
-1063.8274,0.93096651,0.6522339,3,7,0,1065.0592,0.33244582,15.486505,0.21707695,0.26421709,0.31677693,0.30870673
-1062.8769,0.99924784,0.6522339,3,7,0,1064.1784,0.30806245,16.364075,0.22143853,0.26884884,0.31040472,0.30125833
-1061.4084,0.94534979,0.6522339,2,7,0,1064.8034,0.28686876,38.861304,0.28652656,0.27478899,0.2862748,0.30606165
-1061.8143,0.92131557,0.6522339,3,7,0,1062.9688,0.27485125,17.336666,0.24106275,0.26189968,0.32179196,0.30739204
-1063.9142,0.93450333,0.6522339,3,7,0,1065.0337,0.2274908,18.30343,0.25322604,0.27787828,0.297675,0.26635777
-1063.7945,0.98711418,0.6522339,3,7,0,1065.8441,0.29687934,36.78224,0.26770287,0.27242972,0.32191796,0.35001637
-1064.9665,0.95369766,0.6522339,3,7,0,1066.0057,0.26521039,17.324806,0.24594832,0.26259163,0.27497958,0.26244733
-1062.2262,0.96836539,0.6522339,2,3,0,1066.629,0.25656397,40.090789,0.22962408,0.25571497,0.29393366,0.29873129
-1061.5408,0.91915412,0.6522339,3,7,0,1064.8857,0.27453916,18.616244,0.27856551,0.25452289,0.3128981,0.29257468
-1064.9044,0.79256441,0.6522339,3,7,0,1066.914,0.20216706,5.6269484,0.23741716,0.27099221,0.28526127,0.31181813
-1063.4625,0.92814572,0.6522339,2,7,0,1067.4079,0.23374574,6.8977616,0.24864355,0.27185461,0.31122893,0.31779525
-1066.6918,0.84877941,0.6522339,3,7,0,1067.8713,0.23357564,4.2301329,0.29472564,0.29905151,0.32220232,0.29182872
-1065.3953,0.94472588,0.6522339,3,7,0,1072.4902,0.37679832,15.032502,0.22323424,0.25087949,0.33034303,0.30653616
-1065.6846,0.77271403,0.6522339,2,7,0,1071.5807,0.33358981,9.2015961,0.25909995,0.21851782,0.32449668,0.32112351
-1061.9996,0.99117602,0.6522339,3,7,0,1066.6205,0.31159146,36.94656,0.2736026,0.24172253,0.31637415,0.3039328
-1062.0919,0.95506786,0.6522339,2,7,0,1063.7791,0.26291038,18.558313,0.26633479,0.26404613,0.32778181,0.28866407
-1062.026,0.9968991,0.6522339,3,7,0,1063.0696,0.2783838,29.463939,0.25128969,0.26593091,0.27966245,0.32697032
-1062.3503,0.96426927,0.6522339,3,7,0,1063.2445,0.34036506,21.770434,0.27070924,0.27198159,0.31071913,0.28201489
-1062.4326,0.9975606,0.6522339,2,3,0,1063.2674,0.33916826,12.703078,0.27705231,0.26948079,0.31725839,0.29142157
-1062.7494,0.95800761,0.6522339,3,7,0,1064.7035,0.34638496,21.075733,0.27049944,0.29386464,0.33095431,0.30765376
-1064.2999,0.88850467,0.6522339,3,7,0,1066.5378,0.31529221,17.328242,0.23755895,0.28397288,0.26718042,0.32732738
-1064.3444,0.98755772,0.6522339,3,7,0,1066.118,0.27358842,39.070066,0.30613905,0.24686842,0.33342607,0.28711646
-1064.1767,0.99783845,0.6522339,3,7,0,1065.8873,0.29138344,17.322664,0.2251667,0.28947442,0.27414748,0.32258955
-1063.1901,0.99678105,0.6522339,3,7,0,1066.421,0.19939525,28.174199,0.24812467,0.25227476,0.29790241,0.3108603
-1063.7258,0.95928397,0.6522339,2,7,0,1065.6286,0.36381553,12.239,0.29806101,0.27875634,0.32765175,0.30961839
-1063.5997,0.98288311,0.6522339,3,7,0,1065.5544,0.2163187,41.611329,0.23613502,0.26077262,0.28090038,0.30550077
-1062.0439,1,0.6522339,2,3,0,1063.8324,0.25605609,38.819275,0.24081856,0.26320692,0.27865469,0.30545113
-1064.3353,0.6886334,0.6522339,3,7,0,1067.9615,0.37651609,8.0738492,0.29881733,0.2714764,0.29707377,0.29370789
-1063.0045,0.9834086,0.6522339,3,7,0,1066.3033,0.23977897,10.814096,0.24241708,0.24156621,0.30496197,0.29849037
-1062.4731,0.98965118,0.6522339,3,7,0,1064.6666,0.29596256,38.306317,0.29660518,0.28444947,0.2923934,0.32739306
-1061.9506,0.78780474,0.6522339,2,3,0,1066.4241,0.32502724,35.12028,0.28119529,0.29724851,0.3110693,0.31381781
-1066.4857,0.57319777,0.6522339,3,7,0,1068.755,0.260772,2.9863081,0.24934001,0.24054083,0.287872,0.29271601
-1064.0934,0.93148286,0.6522339,3,7,0,1068.4284,0.28324157,69.476857,0.28834556,0.2963401,0.31955035,0.32034055
-1063.9671,1,0.6522339,3,7,0,1066.7378,0.338768,30.940168,0.27202104,0.26212106,0.3378955,0.33774926
-1062.2747,0.997928,0.6522339,2,3,0,1064.7759,0.33502554,24.923937,0.28527802,0.27077875,0.32223521,0.32659112
-1063.3369,0.92251371,0.6522339,3,7,0,1065.0544,0.22788099,25.180259,0.25442346,0.28675357,0.27435938,0.28522567
-1067.7598,0.86542237,0.6522339,3,7,0,1068.8466,0.18167795,16.246322,0.27961921,0.30203372,0.28046168,0.26407254
-1064.3505,0.95131231,0.6522339,3,7,0,1071.2795,0.36041619,32.661904,0.25057344,0.23863631,0.31641238,0.29983395
-1061.7482,1,0.6522339,2,3,0,1064.933,0.30990654,22.627031,0.25839649,0.23972382,0.3031989,0.30898781
-1061.4747,0.97630877,0.6522339,3,7,0,1063.1397,0.32340178,17.070354,0.27253572,0.26789448,0.30362439,0.29356865
-1063.1724,0.7807981,0.6522339,3,7,0,1066.9081,0.2430951,26.971789,0.24922621,0.26738,0.33139898,0.32829214
-1061.9828,0.97727719,0.6522339,2,3,0,1064.0138,0.26849439,28.315072,0.24076402,0.27875207,0.32700988,0.30809754
