# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = test_with_prior_model
# start_datetime = 2026-03-26 07:02:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data.json
# init = 2 (Default)
# random
#   seed = 807198272 (Default)
# output
#   file = prior_results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 8
# stanc_version = stanc3 v2.37.0
# stancflags = 
lp__,accept_stat__,mu,kappa,theta.1,theta.2,theta.3,mu_prior,kappa_prior,theta_prior.1,theta_prior.2,theta_prior.3,y_prior.1,y_prior.2,y_prior.3
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.070182585,11.301999,0.028505593,0.055792682,0.017007383,14,36,11
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.30953971,0.75446827,0.12829043,1.2788783e-05,0.0031179585,26,0,2
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.026189704,10.715982,0.0016940338,0.0086799911,1.0483892e-05,0,7,0
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.10173131,0.64572242,4.8993469e-11,5.0517706e-08,0.82442815,0,0,487
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.087784409,3.7931898,0.33739474,0.063903249,0.00011791221,101,38,0
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.22322153,25.742745,0.11935468,0.26489672,0.35012486,33,152,207
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.12167686,7.2037332,0.10762966,0.11401779,0.13660837,33,58,64
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.16842436,8.3170875,0.35395173,0.027371225,0.14247106,114,11,61
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.28568763,7.55011,0.17609767,0.23795839,0.62053366,62,133,387
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.17660833,4.9863849,0.15492228,0.091280513,0.51004338,47,45,294
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.28922222,8.8946503,0.24209601,0.10263438,0.3467979,74,46,207
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.23551317,5.1608341,0.31326507,0.28201888,0.30942367,90,123,171
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.062198606,18.540846,0.089300581,0.12585115,0.097967515,23,63,53
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.10029701,44.753965,0.051053687,0.10028479,0.078407213,17,49,45
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.34997979,15.625183,0.19907952,0.1932022,0.2811366,64,100,184
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.14759949,0.42940049,0.0012205736,0.90114172,0.0054786675,0,448,3
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.30308038,2.1236333,0.099909083,0.15211376,0.29697413,27,89,164
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.1477309,17.739878,0.10564768,0.082429192,0.067063765,35,46,37
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.40263345,7.1820256,0.28569173,0.11391869,0.54342913,81,55,317
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.46933772,5.4815492,0.51901119,0.74657338,0.77967531,162,355,453
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.21324709,36.720752,0.21796013,0.25542269,0.12085152,63,115,72
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.22131377,10.637031,0.033348333,0.65150801,0.081455008,11,311,53
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.258244,21.106209,0.30685912,0.22664689,0.66807968,86,99,385
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.042392042,3.6572068,0.0035326393,0.0001071187,0.12406063,1,0,61
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.38816896,18.406182,0.36377415,0.23074519,0.57490218,115,122,329
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.24174922,0.90487641,0.67010001,0.00086767324,9.6087085e-05,209,0,0
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.21689463,1.9457442,0.046971425,0.63493056,0.0041510066,12,309,2
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.3026439,1.6391544,0.56127644,0.030751067,0.30127926,171,17,199
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.2691961,1.4883317,0.25589727,0.019057893,0.60241874,90,8,351
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.11864124,1.4074288,0.00087025366,0.14290439,0.31952768,1,70,171
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.093435493,15.158442,0.070764494,0.099039804,0.07566755,13,35,51
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.21003727,9.9116183,0.21720526,0.26565034,0.17022426,83,148,97
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.24124365,7.2309089,0.29548951,0.14671095,0.52899835,93,91,321
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.062292062,10.308341,0.043442847,0.12918752,0.006709844,12,55,6
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.30443063,2.3373479,0.15244994,0.0048738719,0.0433117,39,1,24
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.077639217,14.908592,0.017235418,0.17276841,0.065513578,8,93,40
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.33206211,1.6063496,0.12041806,0.48331678,0.69803393,32,248,405
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.27615868,0.89035088,0.96196226,0.21121086,2.855172e-08,299,114,0
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.32106531,2.6927423,0.061069535,0.065593272,0.79687573,19,27,457
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.32110819,5.2262922,0.68823589,0.021449344,0.35602322,200,16,219
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.20872884,0.40918845,3.9156545e-08,3.5675499e-08,0.26229401,0,0,157
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.068455465,22.575167,0.10930639,0.046612986,0.021148016,37,20,10
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.11764353,16.020524,0.11037516,0.075168561,0.041339528,33,24,26
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.068649705,25.13393,0.067899848,0.045010545,0.10037301,17,20,66
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.19758586,1.5493321,0.13629998,0.17407163,0.044319583,38,78,22
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.22601181,5.5960776,0.36666399,0.19076051,0.12711012,117,89,76
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.11544887,6.7714589,0.17372241,0.14286121,0.13387327,50,69,64
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.069864931,4.0494839,0.0011042068,0.090837072,0.09012085,0,49,49
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.12374746,25.106859,0.12111405,0.18885853,0.17055451,47,86,109
0,0,0.72221587,0.14040365,0.80491973,0.56235216,0.67118821,0.26942652,30.350905,0.28278684,0.24673046,0.23396591,92,119,140
