# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = test_model
# start_datetime = 2026-03-26 06:32:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data.json
# init = 2 (Default)
# random
#   seed = 805450934 (Default)
# output
#   file = results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3
# Adaptation terminated
# Step size = 0.550906
# Diagonal elements of inverse mass matrix:
# 0.0903216, 0.560335, 0.0143741, 0.00762163, 0.00798517
-851.31747,0.90399536,0.55090594,3,7,0,854.47212,0.38072555,31.59107,0.24150189,0.28277189,0.31408683
-849.77722,1,0.55090594,3,7,0,852.70856,0.19701883,22.568007,0.26517937,0.31413804,0.31718149
-849.76243,0.99737577,0.55090594,3,7,0,851.90634,0.21618824,21.364608,0.2563992,0.30279534,0.3337225
-849.36146,1,0.55090594,3,7,0,850.62807,0.3475227,20.646849,0.26005407,0.29068781,0.28277707
-849.60531,0.89832523,0.55090594,3,7,0,851.62474,0.23108329,21.091009,0.29435705,0.31730344,0.31819152
-851.79228,0.88320982,0.55090594,3,7,0,854.83859,0.18257345,5.1577995,0.25069825,0.27349795,0.29099531
-849.95008,0.96858131,0.55090594,3,7,0,853.77568,0.24987624,23.719346,0.23997542,0.26452692,0.30394373
-847.93712,0.98524547,0.55090594,3,7,0,850.88538,0.32144524,15.52875,0.25877297,0.30893612,0.30888952
-851.06477,0.8059788,0.55090594,3,7,0,852.46051,0.36425889,57.811695,0.28064131,0.31991987,0.32067202
-851.10487,1,0.55090594,3,7,0,851.60378,0.21072057,5.4582115,0.24474074,0.28311759,0.28581286
-848.64049,0.99460544,0.55090594,3,7,0,853.0371,0.3347524,24.37413,0.28430385,0.31582818,0.32475262
-848.84225,0.99809244,0.55090594,3,7,0,849.07705,0.33965756,22.103047,0.29190558,0.31160513,0.32421563
-848.96566,0.88369785,0.55090594,3,7,0,851.30216,0.20899485,15.235982,0.24183958,0.29803477,0.29947062
-851.21654,0.93540462,0.55090594,3,7,0,852.19276,0.39038324,37.163391,0.28987545,0.31659464,0.29130592
-849.04779,0.8546478,0.55090594,3,7,0,854.2208,0.26668996,35.609694,0.29704268,0.31471526,0.29655101
-849.16679,1,0.55090594,3,7,0,849.77995,0.31253164,15.984632,0.24170459,0.27722875,0.30902239
-849.00536,0.94391983,0.55090594,3,7,0,851.76581,0.23408081,8.7542544,0.27334597,0.30897909,0.29647307
-849.1718,0.91983142,0.55090594,3,7,0,853.00914,0.32361059,48.730465,0.25271592,0.30168497,0.32039871
-852.66694,0.92932468,0.55090594,3,7,0,853.25181,0.2300084,10.584689,0.29302315,0.30726304,0.25787512
-852.74297,0.98481352,0.55090594,3,7,0,854.29322,0.37507362,25.408951,0.24281206,0.28833948,0.3533021
-850.89532,1,0.55090594,3,7,0,853.4828,0.19745803,11.157325,0.2573677,0.32291076,0.27480188
-850.57873,0.9927031,0.55090594,3,7,0,851.72995,0.3618549,34.882676,0.26274231,0.29566486,0.3403545
-850.01651,0.77421931,0.55090594,3,7,0,853.05581,0.20995692,14.927898,0.25472429,0.30317514,0.33582994
-848.56576,0.99810079,0.55090594,3,7,0,851.07697,0.33301887,19.840721,0.27235502,0.30069303,0.28604921
-848.60915,0.90512596,0.55090594,3,7,0,852.05872,0.27098121,34.166493,0.24843689,0.30575963,0.32651378
-850.53269,0.89323469,0.55090594,3,7,0,851.85677,0.22149546,4.6466896,0.24491515,0.2888544,0.30312399
-850.22369,0.94062361,0.55090594,3,7,0,853.60167,0.31868598,34.853477,0.29690857,0.30698934,0.34193013
-849.10199,0.91172752,0.55090594,3,7,0,853.06713,0.32685494,16.827025,0.28616292,0.29049691,0.32929857
-848.4593,0.96861931,0.55090594,3,7,0,850.76413,0.33495972,11.712685,0.27259899,0.30018041,0.31547792
